id_ets_seo_redirect;name;url;target;type;active;id_shop
147;;achat/cat-plaques-plastiques-sur-mesure-40.html?tri=nom_fr&sort=asc&page=2;https://www.plexi-cindar.com/10-plaques-de-plexiglass-altuglass;301;1;1
148;;polycarbonate-specifique-23/pc-incolore-anti-abrasion-4-mm-133.html;https://www.plexi-cindar.com/polycarbonate/501-polycarbonate-incolore-margard-mrx-anti-abrasion-5mm.html;301;1;1
149;;achat/cat-pmma-extrude-diffusant-19.html?tri=nom_fr&sort=asc;https://www.plexi-cindar.com/13-plexiglas-blanc-opale;301;1;1
150;;achat/cat-plaques-plastiques-sur-mesure-40.html?tri=prix&sort=desc;https://www.plexi-cindar.com/10-plaques-de-plexiglass-altuglass;301;1;1
151;;elements-de-vitrines-et-de-comptoirs-31/pare-haleine-250mm-de-hauteur-1m-412.html;https://www.plexi-cindar.com/35-produits-standards;301;1;1
152;;boite-plexiglas-altuglas-47/boite-plexi-300x300x300mm-593.html;https://www.plexi-cindar.com/boites-clipsables/643-boite-plexi-300x300x300mm.html;301;1;1
153;;achat/cat-pmma-extrude-diffusant-19.html?tri=prix&sort=desc;https://www.plexi-cindar.com/13-plexiglas-blanc-opale;301;1;1
154;;achat/?tri=prix&sort=desc&page=18;https://www.plexi-cindar.com/;301;1;1
155;;achat/cat-pmma-extrude-diffusant-19.html?tri=prix&sort=asc;https://www.plexi-cindar.com/13-plexiglas-blanc-opale;301;1;1
157;;echantillons-32/echantillon-pvc-expanse-noir-3mm-319.html;https://www.plexi-cindar.com/pvc-expanse/523-pvc-expanse-blanc-2mm.html;301;1;1
158;;achat/cat-pmma-extrude-diffusant-19.html;https://www.plexi-cindar.com/13-plexiglas-blanc-opale;301;1;1
159;;polycarbonate-incolore-uv-2-faces-21/pc-incolore-3-mm-prix-au-m--110.html;https://www.plexi-cindar.com/polycarbonate/490-polycarbonate-incolore-.html;301;1;1
160;;echantillons-32/echantillon-pmma-incolore-coule-314.html;https://www.plexi-cindar.com/11-plexiglas-transparent;301;1;1
161;;echantillons-32/echantillon-petg-incolore-2mm-299.html;https://www.plexi-cindar.com/48-incolore--48;301;1;1
162;;achat/cat-plaques-plastiques-sur-mesure-40.html?tri=nom_fr&sort=asc&page=8;https://www.plexi-cindar.com/10-plaques-de-plexiglass-altuglass;301;1;1
163;;echantillons-32/echantillon-petg-incolore-3mm-299.html;https://www.plexi-cindar.com/polyester/507-petg-incolore.html;301;1;1
164;;echantillons-32/echantillon-blanc-opaque-10mm-altuglas-277.html;https://www.plexi-cindar.com/plexiglas-noir/482-pmma-coule-blanc-opaque-altuglas.html;301;1;1
165;;echantillons-32/echantillon-blanc-opaque-15mm-altuglas-276.html;https://www.plexi-cindar.com/plexiglas-noir/483-pmma-coule-blanc-opaque-altuglas.html;301;1;1
166;;elements-de-vitrines-et-de-comptoirs-31/porte-documents-a4-paysage-219.html;https://www.plexi-cindar.com/35-produits-standards;301;1;1
167;;echantillons-32/echantillon-blanc-opaque-6mm-altuglas-274.html;https://www.plexi-cindar.com/plexiglas-noir/480-pmma-coule-blanc-opaque-altuglas.html;301;1;1
168;;achat/?tri=prix&sort=desc&page=17;https://www.plexi-cindar.com/;301;1;1
169;;achat/marque.php?id=2&page=3;https://www.plexi-cindar.com/;301;1;1
170;;achat/marque.php?id=2&page=2;https://www.plexi-cindar.com/;301;1;1
171;;pmma-coule-diffusant-translucide-14/pmma-coule-blanc-diffusant-moyen-58.html;https://www.plexi-cindar.com/plexiglas/366-pmma-coule-blanc-diffusant-moyen-altuglas.html;301;1;1
172;;achat/cat-colles-entretien-accessoires-28.html?tri=prix&sort=asc;https://www.plexi-cindar.com/29-accessoires;301;1;1
173;;echantillons-32/echantillon-blanc-opaque-4mm-altuglas-272.html;https://www.plexi-cindar.com/plexiglas-noir/478-pmma-coule-blanc-opaque-altuglas-100-47010-4mm.html;301;1;1
174;;echantillons-32/echantillon-pmma-incolore-coule-377.html;https://www.plexi-cindar.com/11-plexiglas-transparent;301;1;1
